abgerufen_am,datum,geplante_anreisen,geplante_abreisen,geplante_tagesgaeste,gaeste_auf_insel,inhalt_sha256,quell_url,rohdatei
2026-08-15T15:14:33+02:00,2026-08-14,1348,1305,965,4490,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-15T15:14:33+02:00,2026-08-15,1114,1293,441,4303,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-15T15:14:33+02:00,2026-08-16,934,910,218,3957,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-15T15:14:33+02:00,2026-08-17,706,539,222,3788,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-15T15:14:33+02:00,2026-08-18,284,279,96,3561,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-15T15:14:33+02:00,2026-08-19,294,256,81,3574,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-15T15:14:33+02:00,2026-08-20,295,328,98,3623,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-15T15:14:33+02:00,2026-08-21,469,657,108,3772,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-15T15:14:33+02:00,2026-08-22,514,805,126,3627,898095ace7498bce76db3d95160a33ec98faf177f87a803b094b41a5b5a6e917,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260815T151433+0200_898095ace749.html
2026-08-16T06:49:11+02:00,2026-08-15,1116,1297,441,4305,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-16T06:49:11+02:00,2026-08-16,1047,999,301,4054,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-16T06:49:11+02:00,2026-08-17,728,558,239,3819,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-16T06:49:11+02:00,2026-08-18,286,281,96,3575,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-16T06:49:11+02:00,2026-08-19,304,259,81,3594,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-16T06:49:11+02:00,2026-08-20,300,329,98,3645,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-16T06:49:11+02:00,2026-08-21,471,659,108,3795,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-16T06:49:11+02:00,2026-08-22,526,818,134,3660,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-16T06:49:11+02:00,2026-08-23,796,1076,258,3630,bb99c9f8fbf05a9fda89ab3ed0e06889a8d652f1fffa9d003ab71c1ee6beb45b,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260816T064911+0200_bb99c9f8fbf0.html
2026-08-17T06:57:19+02:00,2026-08-16,1214,1144,437,4200,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-17T06:57:19+02:00,2026-08-17,826,639,309,3920,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-17T06:57:19+02:00,2026-08-18,299,302,103,3610,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-17T06:57:19+02:00,2026-08-19,300,264,73,3614,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-17T06:57:19+02:00,2026-08-20,346,375,140,3706,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-17T06:57:19+02:00,2026-08-21,489,668,118,3830,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-17T06:57:19+02:00,2026-08-22,550,835,141,3710,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-17T06:57:19+02:00,2026-08-23,810,1096,268,3677,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-17T06:57:19+02:00,2026-08-24,554,334,59,3144,b358512bac705b67d1504a4e4cb235a99d3f23ca115f75ac7d71665370960c0d,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260817T065719+0200_b358512bac70.html
2026-08-18T06:50:06+02:00,2026-08-17,954,677,408,3957,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-18T06:50:06+02:00,2026-08-18,342,344,127,3656,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-18T06:50:06+02:00,2026-08-19,326,295,91,3651,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-18T06:50:06+02:00,2026-08-20,373,404,162,3744,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-18T06:50:06+02:00,2026-08-21,510,704,128,3864,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-18T06:50:06+02:00,2026-08-22,596,873,172,3755,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-18T06:50:06+02:00,2026-08-23,827,1130,280,3703,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-18T06:50:06+02:00,2026-08-24,566,335,64,3157,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-18T06:50:06+02:00,2026-08-25,202,246,92,3031,c4afece5ac3e3bf41dbe4c9471f81bdbbf027367a64b5ed07abc335a2a1d9bef,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260818T065006+0200_c4afece5ac3e.html
2026-08-19T06:50:25+02:00,2026-08-18,422,429,190,3718,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-19T06:50:25+02:00,2026-08-19,437,398,192,3751,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-19T06:50:25+02:00,2026-08-20,417,458,193,3791,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-19T06:50:25+02:00,2026-08-21,539,729,142,3892,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-19T06:50:25+02:00,2026-08-22,664,917,218,3827,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-19T06:50:25+02:00,2026-08-23,843,1172,296,3753,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-19T06:50:25+02:00,2026-08-24,589,354,73,3198,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-19T06:50:25+02:00,2026-08-25,219,262,106,3072,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-19T06:50:25+02:00,2026-08-26,268,362,154,3080,ff72c24bbbf4b2b4b5cc8f405e374b29b8c51c6133820816acae5e95aa7dd306,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260819T065025+0200_ff72c24bbbf4.html
2026-08-20T06:51:27+02:00,2026-08-19,551,518,284,3853,36246ff8644fef98b888f4bdc4561443db41f6a55b8e7f50eb15961d6216c437,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260820T065127+0200_36246ff8644f.html
2026-08-20T06:51:27+02:00,2026-08-20,523,544,269,3869,36246ff8644fef98b888f4bdc4561443db41f6a55b8e7f50eb15961d6216c437,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260820T065127+0200_36246ff8644f.html
2026-08-20T06:51:27+02:00,2026-08-21,587,758,168,3937,36246ff8644fef98b888f4bdc4561443db41f6a55b8e7f50eb15961d6216c437,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260820T065127+0200_36246ff8644f.html
2026-08-20T06:51:27+02:00,2026-08-22,716,968,257,3903,36246ff8644fef98b888f4bdc4561443db41f6a55b8e7f50eb15961d6216c437,https://www.spiekeroog.de/buchung/file/codebehind/loadGaesteStatistik.php,raw/20260820T065127+0200_36246ff8644f.html
