datum,geplante_anreisen,geplante_abreisen,geplante_tagesgaeste,gaeste_auf_insel
2026-08-14,1348,1305,965,4490
2026-08-15,1116,1297,441,4305
2026-08-16,1214,1144,437,4200
2026-08-17,954,677,408,3957
2026-08-18,422,429,190,3718
2026-08-19,551,518,284,3853
2026-08-20,603,634,337,3938
2026-08-21,827,992,353,4151
2026-08-22,899,1100,374,4068
2026-08-23,1097,1401,441,4088
2026-08-24,940,672,323,3655
2026-08-25,874,920,703,3871
2026-08-26,767,851,586,3731
2026-08-27,493,553,249,3390
2026-08-28,708,872,308,3563
2026-08-29,848,992,258,3544
2026-08-30,784,1087,277,3369
2026-08-31,627,582,106,2967
2026-09-01,531,465,291,2937
2026-09-02,290,317,111,2761
2026-09-03,266,354,88,2715
2026-09-04,434,519,28,2873
2026-09-05,339,686,60,2693
2026-09-06,416,640,25,2428
2026-09-07,547,367,83,2344
